Lunar Name,Planet Name,Number of days to orbit
Lunalith,11 Com b,44.19
Seleneva,11 UMi b,567.34
Nylora,14 And b,683.24
Miravon,14 Her b,854.77
Thaliora,16 Cyg B b,650.1
Crescentis,17 Sco b,2.7
Eclipsa,18 Del b,300.21
Lumisera,1RXS J160929.1-210524 b,822.56
Noctara,24 Boo b,92.19
Vespera,24 Sex b,577.9
Cylaris,24 Sex c,637.96
Astrena,2M0437 b,366.01
Serenis,AF Lep b,247.29
Galadora,AU Mic b,106.9
Stellara,AU Mic c,734.41
Lunaria,AU Mic d,571.49
Phobon,BD+03 2562 b,283.88
Arctura,BD+14 4559 b,109.87
Aethra,BD+15 2375 b,104.32
